time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-11 00:00:00+00:00,4,2,3,3
2026-04-12 00:00:00+00:00,2,1,5,5
2026-04-13 00:00:00+00:00,3,2,9,2
2026-04-14 00:00:00+00:00,5,3,4,4
2026-04-15 00:00:00+00:00,3,2,3,3
2026-04-16 00:00:00+00:00,3,1,4,4
2026-04-17 00:00:00+00:00,2,1,2,2
2026-04-18 00:00:00+00:00,2,1,5,4
2026-04-19 00:00:00+00:00,3,1,8,8
2026-04-20 00:00:00+00:00,4,3,14,11
2026-04-21 00:00:00+00:00,5,2,19,12
2026-04-22 00:00:00+00:00,30,4,5,4
2026-04-23 00:00:00+00:00,4,3,4,1
2026-04-24 00:00:00+00:00,7,5,3,3
